Név|Konzol|Műfaj|Kiadó|Fejlesztő|Kritikusi pontszám|Összes eladás|Kiadás éve
San-X Character Channel: All-Star Daishuugou!|DS|Akció|MTO|MTO|7.3|0.01|2008
Fuun Shinsengumi Bakumatsuden Portable|PSP|Akció|Unknown|From Software|7.3|0.01|2013
Legend of Kay Anniversary|WiiU|Akció|Nordic Games|Nordic Games|7.3|0.01|2015
Double Pack Tomb Raider: Legend / Anniversary|PSP|Akció|Eidos Interactive|Buzz Monkey / Crystal Dynamics|7.3|0.01|2009
Spider-Man: Friend or Foe|PC|Akció|Activision|Beenox|5.6|0.01|2007
Sengoku Basara 2 Heroes|Wii|Akció|Capcom|Capcom|7.3|0.01|2007
Kaitou Joker: Toki o Koeru Kaitou to Ushinawareta Houseki|3DS|Akció|Bandai Namco Games|Bandai Namco Games|7.3|0.01|2015
Aquaman: Battle for Atlantis|XB|Akció|TDK Mediactive|Lucky Chicken|7.3|0.01|2003
Barbie and Her Sisters Puppy Rescue|WiiU|Akció|Little Orbit|Torus Games|7.3|0.01|2015
Infinite Stratos 2: Love and Purge|PSV|Akció|5pb|Unknown|7.3|0.01|2015
Grand Theft Auto III|PC|Akció|Rockstar Games|DMA Design|9.1|0.01|2002
Bullet Girls: Phantasia|PSV|Akció|D3 Publisher|Shade|7.3|0.01|2018
Aeon Flux|XB|Akció|Majesco|Terminal Reality|7.3|0.01|2005
SoulCalibur Legends (JP sales)|Wii|Akció|Namco Bandai|Project Soul|7.3|0.01|2007
Blackthorne|GBA|Akció|Blizzard Entertainment|Mass Media|7.1|0.01|2003
Black Cat|PS2|Akció|Capcom|Capcom|7.3|0.01|2006
Rengoku II: The Stairway to H.E.A.V.E.N. (jp sales)|PSP|Akció|Konami|Neverland|7.3|0.01|2006
Kaitou Rousseau|DS|Akció|Namco|Namco|7.3|0.01|2006
Let It Die|PS4|Akció|GungHo|Grasshopper Manufacture|7.3|0.01|2020
Unbox: Newbie's Adventure|NS|Akció|Merge Games|Prospect Games|7.3|0.01|2017
Steins;Gate Elite|PSV|Visual Novel|5pb|5pb. Inc.|7.3|0.01|2018
Clannad|PSV|Visual Novel|Prototype|Prototype|7.3|0.01|2014
Yoshiwara Higanbana Kuon no Chigiri|PSV|Visual Novel|Prototype|Prototype|7.3|0.01|2017
Vitamin X: Destination|PSV|Visual Novel|D3Publisher|HuneX|7.3|0.01|2018
Grisaia Phantom Trigger 03 & 04|PSV|Visual Novel|Prototype|Prototype|7.3|0.01|2018
Maitetsu: Pure Station|PS4|Visual Novel|Yeti|Lose|7.3|0.01|2018
Eiyuu * Senki|PSV|Visual Novel|5pb|Tenco|7.3|0.01|2014
Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki|PSV|Akció|Idea Factory|Unknown|7.3|0.01|2015
Minds and Mystery: 5 Game Pack|PC|Akció|Focus Multimedia|Focus Multimedia|7.3|0.01|2014
This War of Mine|XOne|Akció|11 bit studios|11 bit studios|7.3|0.01|2016
Deception IV: The Nightmare Princess|PSV|Akció|Tecmo Koei|Koei Tecmo Games|7.3|0.01|2015
Hirameki Action: Chibikko Wagyan no Daiki na Bouken|DS|Akció|Namco Bandai|Namco Bandai Games|7.3|0.01|2009
Mushibugyo|3DS|Akció|Namco Bandai Games|Namco Bandai Games|7.3|0.01|2013
Hakuoki: Reimeiroku - Omouhase Kara|PSV|Akció|Idea Factory|Unknown|7.3|0.01|2015
E.T. The Extra-Terrestrial|GBA|Akció|NewKidCo|Fluid Studios|3.5|0.01|2001
Has-Been Heroes|PC|Akció|GameTrust|Frozenbyte|7.3|0.01|2017
Warriors Orochi 3|NS|Akció|Tecmo Koei|Omega Force|7.3|0.01|2017
Shin Sangoku Musou 4 Special|X360|Akció|KOEI|Omega Force|7.3|0.01|2005
Assassin's Creed Chronicles|XOne|Akció|Ubisoft|Climax Studios|7.3|0.01|2016
Madagascar: Escape 2 Africa|PC|Akció|Activision|Aspyr|7.3|0.01|2008
Katekyoo Hitman Reborn! Kindan no Yami no Delta|Wii|Akció|Marvelous Interactive|Marvelous Interactive|7.3|0.01|2008
Zombi|XOne|Akció|Ubisoft|Ubisoft Montpellier|7.3|0.01|2016
Transformers: Fall of Cybertron|PC|Akció|Activision|High Moon Studios|7.3|0.01|2012
Young Justice: Legacy|X360|Akció|Warner Bros. Interactive Entertainment|Freedom Factory Studios|7.3|0.01|2013
Dinotopia: The Sunstone Odyssey|XB|Akció|TDK Mediactive|Vicious Cycle|7.3|0.01|2003
Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party|3DS|Akció|Namco Bandai Games|Namco Bandai Games|7.3|0.01|2020
Kenka Banchou Portable|PSP|Akció|Spike|Spike|7.3|0.01|2009
Fallout Anthology|PC|Akció|Bethesda Softworks|Bethesda Softworks|7.3|0.01|2015
Monster High: New Ghoul in School|Wii|Akció|Little Orbit|Torus Games|7.3|0.01|2015
Crouching Tiger, Hidden Dragon|XB|Akció|Ubisoft|Genki|7.3|0.01|2003
Winx Club: Saving Alfea|3DS|Akció|Namco Bandai Games|Little Orbit|7.3|0.01|2014
Hi Hi Puffy AmiYumi: The Genie & the Amp|DS|Akció|D3 Publisher|Sensory Sweep Studios|7.3|0.01|2006
Aquaman: Battle for Atlantis|GC|Akció|TDK Mediactive|Lucky Chicken|2.4|0.01|2003
Fate/kaleid liner Prisma Illya|3DS|Akció|Kadokawa Games|Kadokawa Games|7.3|0.01|2014
Simple DS Series Vol. 41: The Bakudan Shori-Han|DS|Akció|D3 Publisher|Tomcat System|7.3|0.01|2008
Slide Adventure: Mag Kid|DS|Akció|Nintendo|Agenda|7.3|0.01|2007
Rainbow Islands: Revolution|PSP|Akció|Codemasters|Ignition Entertainment|7.3|0.01|2008
Titan Quest|NS|Akció|THQ Nordic|Iron Lore Entertainment|7.3|0.01|2018
Nari Kids Park: Hugtto! PreCure|NS|Akció|Bandai Namco Games|Bandai Namco Games|7.3|0.01|2018
Stolen|PC|Akció|Hip Interactive|Blue 52|7.3|0.01|2005
Bob the Builder: Festival of Fun|Wii|Akció|Blast! Entertainment Ltd|Blast! Entertainment Ltd|7.3|0.01|2009
Zettai Geigeki Wars|PSV|Akció|Acquire|Unknown|7.3|0.01|2015
Yoku's Island Express|NS|Akció|Villa Gorilla|Villa Gorilla|9.0|0.01|2018
James Bond 007: Blood Stone|PC|Akció|Activision|Bizarre Creations|6.2|0.01|2010
Gal Gun: Double Peace|PS4|Akció|PQube|Inti Creates|7.3|0.01|2016
Zorro: Quest For Justice|DS|Akció|505 Games|505 Games|7.3|0.01|2010
Ketsui Deathtiny: Kizuna Jigoku Tachi|PS4|Akció|M2|M2|7.3|0.01|2018
Irotoridori no Sekai: World's End Re-Birth|PSV|Akció|HuneX|Unknown|7.3|0.01|2015
Chokkan! Asonde Relaxuma|DS|Akció|Rocket Company|Rocket Company|7.3|0.01|2008
Monster Radar|PSV|Akció|Sony Computer Entertainment|Sony Marketing|7.3|0.01|2011
Shugo Chara! Norinori! Chara-Nari Zumu|DS|Akció|Konami|Konami|7.3|0.01|2009
Bruce Lee: Return of the Legend|GBA|Akció|Vivendi Games|Vicarious Visions|8.4|0.01|2003
WarTech: Senko no Ronde (JP sales)|X360|Akció|Ubisoft|G.Rev|7.3|0.01|2007
GoGo's Crazy Bones|DS|Akció|GameMill Entertainment|Black Lantern Studios, Inc.|7.3|0.01|2012
Ayakashi Gohan: Oomori!|PSV|Akció|honeybee|Unknown|7.3|0.01|2015
Possession Magenta|PSV|Akció|Unknown|Unknown|7.3|0.01|2015
CharadeManiacs|PSV|Akció|Idea Factory|Otomate|7.3|0.01|2018
Soul Eater: Battle Resonance|PS2|Akció|Namco Bandai|Bec|7.3|0.01|2009
Mist of Chaos|PS3|Akció|Idea Factory|Idea Factory|7.3|0.01|2007
Yoku's Island Express|PS4|Akció|Villa Gorilla|Villa Gorilla|9.0|0.01|2018
Monkey Madness: Island Escape|DS|Akció|Storm City Games|Storm City Games|7.3|0.01|2010
Axiom Verge|PSV|Akció|Thomas Happ Games|Thomas Happ Games|7.3|0.01|2015
Original Frisbee Disc Sports: Ultimate & Golf|DS|Akció|Destination Software, Inc|Unknown|7.3|0.01|2007
Carmageddon 64|N64|Akció|Titus|SCi|1.3|0.01|1999
Planet Monsters|GBA|Akció|Titus|Planet Interactive|7.3|0.01|2001
Zombie Vikings|PS4|Akció|Rising Star Games|Zoink Games|7.3|0.01|2016
Yunohana Spring!|PSV|Akció|Idea Factory|Unknown|7.3|0.01|2015
Deformers|PC|Akció|Ready at Dawn|Ready at Dawn|7.3|0.01|2017
Secret Game: Killer Queen|PS2|Akció|Yeti|Yeti|7.3|0.01|2008
Bound By Flame|PS3|Akció|Focus Home Interactive|Spiders|7.3|0.01|2014
One Piece: Unlimited World Red Deluxe Edition|PS4|Akció|Namco Bandai Games|Ganbarion|7.3|0.01|2017
Gegege no Kitarou: Youkai Daiundoukai|Wii|Akció|Bandai|Bandai|7.3|0.01|2007
Ultimate Spider-Man|PC|Akció|Activision|Beenox|7.3|0.01|2005
Vamwolf Cross|PSV|Akció|D3Publisher|Unknown|7.3|0.01|2015
Tokyo Onmyouji: Tengen Jibashi - Rei no Baai - V Edition|PSV|Akció|Dramatic Create|Unknown|7.3|0.01|2015
Darius Burst: Chronicle Saviours|PS4|Akció|Kadokawa Games|Pyramid|7.3|0.01|2017
Devil May Cry 3: Dante's Awakening Special Edition|PC|Akció|Ubisoft|Capcom|7.1|0.01|2006
Teenage Mutant Ninja Turtles (3DS)|3DS|Akció|Activision|Magic Pockets|7.3|0.01|2013
The Godfather (JP sales)|X360|Akció|Electronic Arts|Headgate|7.3|0.01|2006
Magus|PS3|Akció|Aksys Games|Black Tower Studios|7.3|0.01|2014
Saints Row: Gat out of Hell|PS3|Akció|Deep Silver|Volition Inc.|7.3|0.01|2015
Fushigi no Chronicle: Furikaerimasen Katsu Madewa|PSV|Akció|Spike Chunsoft|Spike Chunsoft|7.3|0.01|2015
Nanairo Reincarnation|PSV|Akció|Silky`s|Unknown|7.3|0.01|2015
Touch Detective Funghi Rhythm|3DS|Akció|Success|Success|7.3|0.01|2014
Winx Club: Saving Alfea|DS|Akció|Little Orbit|Little Orbit|7.3|0.01|2014
Hallowed Legends: Templar|PC|Akció|Big Fish Games|Elephant Games|7.3|0.01|2015
Jyuzaengi: Engetsu Sangokuden 1 + 2|PSV|Akció|Idea Factory|Unknown|7.3|0.01|2015
Live-On DS|DS|Akció|Acquire|Acquire|7.3|0.01|2009
Sugar Sugar Rune: Queen Shiken wa Dai Panic|DS|Akció|Bandai|Bandai Namco Games|7.3|0.01|2006
PAIN|PS3|Akció|Sony Computer Entertainment|Idol Minds Digital|7.3|0.01|2009
San-X: Chara Sagashi Land|DS|Akció|MTO|MTO|7.3|0.01|2007
Tenchu San Portable|PSP|Akció|From Software|From Software|7.3|0.01|2009
The Wild West|DS|Akció|Majesco|Happy Happening|7.3|0.01|2007
KLAP!! Kind Love And Punish|PSV|Akció|Idea Factory|Unknown|7.3|0.01|2015
Hugo: The Evil Mirror|GBA|Akció|Namco|ITE Media|5.9|0.01|2005
Painkiller: Hell & Damnation|PC|Akció|Nordic Games|The Farm 51|7.3|0.01|2012
Genji Koi Emaki|PSV|Akció|Quinrose|Unknown|7.3|0.01|2015
Teikoku Kaigun Renbojou: Meiji Yokosuka Koushinkyoku|PSV|Akció|D3Publisher|Unknown|7.3|0.01|2015
Woodcutter Simulator 2016|PS4|Akció|Namco Bandai Games|Unknown|7.3|0.01|2015
Disney Universe|PC|Akció|Disney Interactive Studios|Disney Interactive Studios|7.3|0.01|2011
Bound By Flame|X360|Akció|Focus Home Interactive|Spiders|7.3|0.01|2014
Big Hero 6: Battle in the Bay|DS|Akció|GameMill|GameMill|7.3|0.01|2014
Juusei to Diamond|PSP|Akció|Sony Computer Entertainment|SCEI|7.3|0.01|2009
Shinjuku no Ookami|PS2|Akció|Spike|YSK|7.3|0.01|2009
Rear Pheles: Red of Another|PSV|Akció|Unknown|Unknown|7.3|0.01|2015
Witch Hunters: Stolen Beauty|PC|Akció|Big Fish Games|Big Fish Games|7.3|0.01|2015
Marvel Disk Wars: Avengers - Ultimate Heroes|3DS|Akció|Namco Bandai Games|Namco Bandai Games|7.3|0.01|2014
Barbie and Her Sisters Puppy Rescue|PS3|Akció|Little Orbit|Little Orbit|7.3|0.01|2015
Bob the Builder: Festival of Fun|DS|Akció|Blast! Entertainment Ltd|Blast! Entertainment Ltd|7.3|0.01|2008
The Escapists: The Walking Dead|PS4|Akció|Team17 Software|Team17 Software|7.3|0.01|2016
Garfield and His Nine Lives|GBA|Akció|Game Factory|Lucky Jump|7.3|0.01|2006
Flowers: Natsu-hen|PSV|Akció|Prototype|Unknown|7.3|0.01|2015
Infinite Stratos 2: Love and Purge|PS3|Akció|5pb|Unknown|7.3|0.01|2015
The Mighty Quest for Epic Loot|PC|Akció|Ubisoft|Ubisoft|7.3|0.01|2015
Battle B-Daman|GBA|Akció|Atlus|Atlus Co.|6.0|0.01|2006
Yattaman DS 2: BikkuriDokkiri Animal Daibouken|DS|Akció|Takara Tomy|Takara Tomy|7.3|0.01|2008
Snood 2: On Vacation|GBA|Logikai|DSI Games|Rebellion Developments|7.3|0.01|2005
Balloon Pop 2|3DS|Logikai|UFO Interactive|UFO Interactive|7.3|0.01|2012
The Treasures of Mystery Island 3 Pack - Save Mystery Island!|PC|Logikai|Unknown|Viva Media|7.3|0.01|2011
Crossroad Crisis|PS|Logikai|Agetec|A1 Games|7.3|0.01|2001
Hasbro Game Night for Nintendo Switch|NS|Partijáték|Ubisoft|Ubisoft|7.3|0.01|2018
Just Deal With It|PS4|Partijáték|Wired Productions|Wired Productions|7.3|0.01|2018
Darksiders III|PC|Akció|THQ Nordic|Gunfire Games|7.3|0.01|2018
Fabled Legends: The Dark Piper|PC|Akció|Big Fish Games|Big Fish Games|7.3|0.01|2014
Boulder Dash-XL|PC|Akció|Kalypso|Catnip Games|7.3|0.01|2011
Hokuto no Ken: Raoh Gaiden - Ten no Haoh|PSP|Akció|Interchannel|Interchannel|7.3|0.01|2009
Inugamike no Ichizoku|DS|Akció|From Software|From Software|7.3|0.01|2009
Whac-A-Mole|GBA|Logikai|Activision|DC Studios|7.3|0.01|2005
Monster Bomber|DS|Logikai|Majesco|Taito Corporation|7.3|0.01|2006
Super Bubble Pop|XB|Logikai|Jaleco|Runecraft|7.3|0.01|2002
th!nk Logic Trainer|Wii|Logikai|Conspiracy Entertainment|Conspiracy Entertainment|7.3|0.01|2009
Luxor: Pharaoh's Challenge|DS|Logikai|Mumbo Jumbo|Mac Play|7.3|0.01|2007
Egg Mania: Eggstreme Madness|GC|Logikai|Kemco|HotGen Studios|7.3|0.01|2002
Bomberman|Wii|Logikai|Hudson Entertainment|Hudson Soft|7.3|0.01|2008
Legends of Oz: Dorothy's Return|3DS|Logikai|GameMill|Black Lantern Studios, Inc.|7.3|0.01|2014
Egg Mania: Eggstreme Madness|XB|Logikai|Kemco|HotGen Studios|7.3|0.01|2002
Jewel Quest II|PC|Logikai|iWin|iWin|7.3|0.01|2007
Smiley World: Island Challenge|DS|Logikai|Zoo Digital Publishing|Zoo Games silver|7.3|0.01|2009
Dark Parables: The Exiled Prince|PC|Logikai|Unknown|Blue Tea Games|7.3|0.01|2011
Groovin' Blocks|Wii|Logikai|Zoo Games|Empty Clip Studios|7.3|0.01|2009
Double Sequence: The Q-Virus Invasion|DS|Logikai|Destination Software, Inc|Next Wave Team|7.3|0.01|2008
Tringo|GBA|Logikai|Crave Entertainment|Crave|7.3|0.01|2006
The Humans: Meet the Ancestors!|DS|Logikai|Deep Silver|Blue Monkey Studios|7.3|0.01|2009
Neopets Puzzle Adventure|PC|Logikai|Capcom|Infinite Interactive|7.3|0.01|2008
th!nk Logic Trainer: Kids|DS|Logikai|Conspiracy Entertainment|DTP Young Entertainment|7.3|0.01|2009
Animal Snap: Rescue Them 2 By 2|GBA|Logikai|Ignition Entertainment|Awesome Developments, Ltd.|7.3|0.01|2002
Chameleon: To Dye For!|DS|Logikai|UFO Interactive|Starfish|7.3|0.01|2007
Bomberman (jp sales)|PSP|Logikai|Konami|Hudson Soft|7.3|0.01|2006
Puyo Pop Fever|GC|Logikai|Sega|Sonic Team|7.9|0.01|2004
Best Of Tests|DS|Logikai|Conspiracy Entertainment|Unknown|7.3|0.01|2008
Umihara Kawase Jun: Second Edition Kanzenban|DS|Logikai|Genterprise|Genterprise|7.3|0.01|2009
Monster Frenzy|DS|Logikai|Zoo Games|Bluestone Interactive|7.3|0.01|2010
Puzzler Collection|PSP|Logikai|Ubisoft|Route 1 Games|7.3|0.01|2008
Photo Phantasy|DS|Logikai|Zoo Games|Zoo Games|7.3|0.01|2011
Tetris Ultimate|3DS|Logikai|Ubisoft|Ubisoft Montreal|7.3|0.01|2014
4 Play Collection: Treasure Hunters|PC|Logikai|Avanquest Software|GSP|7.3|0.01|2014
Mean Girls|DS|Logikai|505 Games|505 Games|7.3|0.01|2010
Nintama Rantarou: Gakunen Taikousen Puzzle! no Dan|DS|Logikai|Russel|Russel|7.3|0.01|2010
7 Wonders of the Ancient World|PC|Logikai|Mumbo Jumbo|Hot Lava Games|7.3|0.01|2007
Bermuda Triangle: Saving the Coral|DS|Logikai|Storm City Games|NorthPole Studio|7.3|0.01|2010
Rain Drops|DS|Logikai|UFO Interactive|CyberPlanet Interactive Public Co., Ltd.|7.3|0.01|2008
Capcom Puzzle World|PSP|Logikai|Capcom|Capcom|7.4|0.01|2007
Challenge Me: Word Puzzles|Wii|Logikai|O-Games|O Games|7.3|0.01|2011
Secret Mysteries in London|3DS|Logikai|Unknown|Licensed 4U|7.3|0.01|2011
Chainz Galaxy|PC|Logikai|Mumbo Jumbo|MumboJumbo|7.3|0.01|2011
Yosumin. DS|DS|Logikai|Square Enix|Square Enix|7.3|0.01|2007
Bermuda Triangle: Saving the Coral|Wii|Logikai|Storm City Games|Storm City Games|7.3|0.01|2009
Mega Brain Boost|DS|Logikai|Majesco|Interchannel-Holon|7.3|0.01|2008
I.Q. Mania|PSP|Logikai|Sony Computer Entertainment|SCEI|7.3|0.01|2006
Jewel Quest V: The Sleepless Star|PC|Logikai|iWin|iiWin|7.3|0.01|2010
Angels and Despair: 5 Game Pack|PC|Logikai|Focus Multimedia|Focus|7.3|0.01|2014
Smiley World: Island Challenge|Wii|Logikai|Zoo Digital Publishing|Zoo Games silver|7.3|0.01|2009
Onore no Shinzuru Michi wo Yuke|PSP|Logikai|From Software|Silicon Studio|7.3|0.01|2009
Zuma's Revenge!|PC|Logikai|PopCap Games|PopCap Games|8.3|0.01|2009
Lemmings Revolution|PC|Logikai|Take-Two Interactive|Psygnosis|7.3|0.01|2000
Bookworm Deluxe|PC|Logikai|PopCap Games|PopCap|7.3|0.01|2006
XI Coliseum|PSP|Logikai|Sony Computer Entertainment|Sony Computer Entertainment|7.3|0.01|2006
12-Sai. Torokeru Puzzle Futari no Harmony|3DS|Logikai|Happinet|Happinet|7.3|0.01|2017
Know How 2|DS|Logikai|7G//AMES|Bitfield GmbH|7.3|0.01|2010
Bust-A-Move 3000|GC|Logikai|Ubisoft|Taito Corporation|7.3|0.01|2003
Steel Horizon|PSP|Stratégia|Konami|Climax Group|7.3|0.01|2007
Medieval: Total War Gold Edition|PC|Stratégia|Sega|The Creative Assembly|7.3|0.01|2006
BC Kings|PC|Stratégia|Strategy First|Mascot Entertainment|7.3|0.01|2008
Lionheart: Kings' Crusade|PC|Stratégia|Paradox Interactive|Neocore Games|6.3|0.01|2010
Kidou Senshi Gundam Vol.3 -A Baoa Qu-|WS|Stratégia|Bandai|Bandai|7.3|0.01|2002
Total War Collection|PC|Stratégia|Sega|The Creative Assembly|7.3|0.01|2012
Disciples III: Resurrection|PC|Stratégia|Kalypso|Akella|7.3|0.01|2011
Warhammer: Mark of Chaos - Battle March|PC|Stratégia|Namco Bandai|Black Hole Entertainment|7.3|0.01|2008
Universe at War: Earth Assault|PC|Stratégia|Sega|Petroglyph Games|7.3|0.01|2007
Sengoku Hime 2 Honoo: Hyakubana, Senran Tatsukaze no Gotoku|PS2|Stratégia|System Soft|System Soft|7.3|0.01|2010
Europa Universalis III|PC|Stratégia|Paradox Interactive|Paradox Interactive|7.3|0.01|2007
Age of Mythology: Gold Edition|PC|Stratégia|Microsoft Game Studios|Ensemble Studios|7.3|0.01|2004
R-Type Tactics II: Operation Bitter Chocolate|PSP|Stratégia|Irem Software Engineering|Irem Software Engineering|7.3|0.01|2009
Valhalla Hills: Definitive Edition|PS4|Stratégia|Kalypso Media|Daedalic Entertainment|7.3|0.01|2017
Black & White 2: Battle of the Gods|PC|Stratégia|Electronic Arts|Lionhead Studios|7.3|0.01|2006
Shogun: Total War|PC|Stratégia|Electronic Arts|The Creative Assembly|8.8|0.01|2000
King Arthur Collection|PC|Stratégia|Paradox Interactive|NeoCoreGames|7.3|0.01|2011
Sword of the Stars: Complete Collection|PC|Stratégia|Paradox Interactive|Kerberos Productions|7.3|0.01|2010
Koori no Bohyou: Ichiryuuwa, 3-dome no Junan|PSP|Stratégia|Nippon Ichi Software|Nippon Ichi Software|7.3|0.01|2010
Victorian Mysteries: Woman in White|PC|Stratégia|eGames|Freeze Tag|7.3|0.01|2010
Command & Conquer: Generals|PC|Stratégia|Electronic Arts|EA Pacific|8.6|0.01|2003
Akatsuki no Amaneka to Aoi Kyojin|X360|Stratégia|CyberFront|Kogado Software Products|7.3|0.01|2010
Rome: Total War Anthology|PC|Stratégia|Sega|The Creative Assembly|7.3|0.01|2008
Pride of Nations|PC|Stratégia|Paradox Interactive|AGEOD|7.3|0.01|2011
MetropolisMania 2|PS2|Stratégia|Natsume|Indi Software|4.3|0.01|2007
D-Day|PC|Stratégia|O3 Entertainment|Digital Reality|7.3|0.01|2004
Jagged Alliance: Rage!|XOne|Stratégia|THQ Nordic|Cliffhanger Productions|7.3|0.01|2018
Zoo Tycoon 2: Extinct Animals|PC|Stratégia|Microsoft Game Studios|Blue Fang Games|7.6|0.01|2007
UFO: Extraterrestrials|PC|Stratégia|Tri Synergy|Chaos Concept|7.3|0.01|2007
Steel Horizon|DS|Stratégia|Konami|Climax Group|7.3|0.01|2007
Dawn of Fantasy|PC|Stratégia|505 Games|Reverie World Studios Inc.|7.3|0.01|2011
Lock's Quest|PS4|Stratégia|THQ Nordic|5TH Cell|7.3|0.01|2017
Heroes of the Storm|PC|Stratégia|Blizzard Entertainment|Blizzard Entertainment|7.3|0.01|2014
Sid Meier's Civilization V: Game of the Year Edition|PC|Stratégia|2K Games|Firaxis Games|7.3|0.01|2011
End of Nations|PC|Stratégia|Trion Worlds|Petroglyph Games|7.3|0.01|2012
Battle Worlds: Kronos|XOne|Stratégia|Nordic Games|KING Art Games|7.3|0.01|2016
STORM: Frontline Nation|PC|Stratégia|Viva Media|Colossai Studio|7.0|0.01|2011
Offshore Tycoon|Wii|Stratégia|Valcon Games|Cyber Planet|7.3|0.01|2009
Jagged Alliance: Rage!|PS4|Stratégia|THQ Nordic|Cliffhanger Productions|7.3|0.01|2018
Spore Galactic Adventures|PC|Stratégia|Electronic Arts|Electronic Arts|7.3|0.01|2009
Daisenryaku: Dai Toua Kouboushi - Tora Tora Tora Ware Kishuu Ni Seikou Seri|PS2|Stratégia|System Soft|System Soft|7.3|0.01|2008
Emperor: Rise of the Middle Kingdom|PC|Stratégia|Sierra Entertainment|BreakAway Games|7.3|0.01|2002
Battle Garegga Rev.2016|PS4|Stratégia|M2|Arc System Works|7.3|0.01|2016
Tropico 3: Gold Edition|PC|Stratégia|Kalypso|Haemimont Games|7.3|0.01|2010
The Eye of Judgment: Legends|PSP|Stratégia|Sony Computer Entertainment|SCE Japan Studio|7.3|0.01|2010
Ishin no Arashi: Shippuu Ryuumeden|DS|Stratégia|Tecmo Koei|Tecmo Koei Games|7.3|0.01|2010
Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna|PSP|Stratégia|System Soft|System Soft|7.3|0.01|2011
King's Bounty: Armored Princess|PC|Stratégia|1C Company|Katauri Interactive|7.3|0.01|2009
Palais de Reine|PS2|Stratégia|Interchannel-Holon|Kogado Studio|7.3|0.01|2007
Hospital Tycoon|PC|Stratégia|Codemasters|Big Red Software|4.0|0.01|2007
This Is the Police 2|NS|Stratégia|THQ Nordic|Weappy Studio|7.3|0.01|2018
Sengoku Hime 2 Arashi: Hyakubana Senran Tatsukaze no Gotoku|PSP|Stratégia|System Soft|System Soft|7.3|0.01|2010
Musou Tourou|PSP|Stratégia|Nippon Ichi Software|FOG (Full On Games)|7.3|0.01|2009
Meru Purana|PS|Stratégia|Gust|Gust|7.3|0.01|1996
Akatsuki no Amaneka to Aoi Kyojin|PSP|Stratégia|CyberFront|Kogado Software Products|7.3|0.01|2010
Codename: Panzers Complete Collection|PC|Stratégia|Nordic Games|Stormregion|7.3|0.01|2016
Battlestations: Midway|PC|Stratégia|Eidos Interactive|Eidos Hungary|7.7|0.01|2007
Space Hulk|PSV|Stratégia|Funbox Media|Electronic Arts|7.3|0.01|2015
Shadow Tactics: Blades of the Shogun|XOne|Stratégia|Kalypso Media|Mimimi Productions|7.3|0.01|2017
Mercenaries Saga Chronicles|NS|Stratégia|PM Studios|Rideon Japan, Inc.|7.3|0.01|2018
Tactics Layer: Ritina Guard Senki|DS|Stratégia|D3 Publisher|Ninja Studio|7.3|0.01|2009
Simple 2000 Series Vol. 120: The Saigo no Nippon Tsuwamono|PS2|Stratégia|D3 Publisher|Tamsoft|7.3|0.01|2007
Battle Worlds: Kronos|PC|Stratégia|KING Art Games|KING Art Games|7.3|0.01|2013
Builder's Block|PS|Stratégia|Jaleco|Taito Corporation|7.3|0.01|2000
BattleForge|PC|Stratégia|Electronic Arts|EA Phenomic|7.3|0.01|2009
Battle Worlds: Kronos|PS4|Stratégia|Nordic Games|KING Art Games|7.3|0.01|2016
Command & Conquer 4: Tiberian Twilight|PC|Stratégia|Electronic Arts|EA Los Angeles|6.6|0.01|2010
Nobunaga's Ambition: Taishi|NS|Stratégia|Koei Tecmo|Koei Tecmo Games|7.3|0.01|2017
Super Robot Taisen XO|X360|Stratégia|Banpresto|Banpresto|7.3|0.01|2006
Theatre Of War|PC|Stratégia|CDV Software Entertainment|Battlefront|7.3|0.01|2008
Sengoku|PC|Stratégia|Paradox Interactive|Paradox Interactive|7.3|0.01|2011
Codename: Panzers Phase Two|PC|Stratégia|CDV Software Entertainment|Stormregion|7.3|0.01|2005
Hakoniwa Company Works|PS4|Stratégia|Nippon Ichi Software|Nippon Ichi Software|7.3|0.01|2017
Blitzkrieg 2 Anthology|PC|Stratégia|Ascaron Entertainment|Nival Interactive|7.3|0.01|2008
Military History: Commander - Europe at War|DS|Stratégia|Slitherine Software|Impressionware SRL|7.3|0.01|2009
Evil Genius|PC|Stratégia|VU Games|Elixir Studios|7.3|0.01|2004
Impossible Creatures|PC|Stratégia|Microsoft Game Studios|Relic|7.3|0.01|2002
Imperium Romanum|PC|Stratégia|SouthPeak Interactive|Haemimont Games|7.3|0.01|2008
Nobunaga no Yabou DS|DS|Stratégia|KOEI|Koei|7.3|0.01|2006
Challenge Me: Word Puzzles|PC|Logikai|O-Games|O Games|7.3|0.01|2011
Mystic Gateways: The Celestial Quest|PC|Logikai|Big Fish Games|Black Lime Games|7.3|0.01|2015
Take A Break's: Puzzle Bonanza|DS|Logikai|Ubisoft|Ubisoft|7.3|0.01|2010
theta|DS|Logikai|Nintendo|VITEI|7.3|0.01|2007
Nintama Rantarou: Nintama no Tame no Ninjutsu Training|DS|Logikai|Russel|Russel|7.3|0.01|2009
Matchstick|DS|Logikai|DreamCatcher Interactive|Ertain|7.3|0.01|2008
